frame,time_ms,right_elbow,left_elbow,right_knee,left_knee,right_shoulder,left_shoulder,lmk_11_x,lmk_11_y,lmk_11_z,lmk_12_x,lmk_12_y,lmk_12_z,lmk_13_x,lmk_13_y,lmk_13_z,lmk_14_x,lmk_14_y,lmk_14_z,lmk_15_x,lmk_15_y,lmk_15_z,lmk_16_x,lmk_16_y,lmk_16_z,lmk_17_x,lmk_17_y,lmk_17_z,lmk_18_x,lmk_18_y,lmk_18_z,lmk_19_x,lmk_19_y,lmk_19_z,lmk_20_x,lmk_20_y,lmk_20_z,lmk_21_x,lmk_21_y,lmk_21_z,lmk_22_x,lmk_22_y,lmk_22_z,lmk_23_x,lmk_23_y,lmk_23_z,lmk_24_x,lmk_24_y,lmk_24_z,lmk_25_x,lmk_25_y,lmk_25_z,lmk_26_x,lmk_26_y,lmk_26_z,lmk_27_x,lmk_27_y,lmk_27_z,lmk_28_x,lmk_28_y,lmk_28_z,lmk_29_x,lmk_29_y,lmk_29_z,lmk_30_x,lmk_30_y,lmk_30_z,lmk_31_x,lmk_31_y,lmk_31_z,lmk_32_x,lmk_32_y,lmk_32_z,neck_x,neck_y,neck_z,neck_angle
0,0,17.980477553133316,173.2940097148355,181.0,181.0,87.48689314576386,50.17387928685039,0.3560643792152405,0.3932809829711914,-0.23022949695587158,0.7121699750423431,0.3827580213546753,-0.43276306986808777,0.24476152658462524,0.5309762358665466,-0.14110399782657623,0.9506698772311211,0.4474376142024994,-1.0634247064590454,0.16379469633102417,0.659332811832428,-0.3709091246128082,0.7687675505876541,0.32861360907554626,-1.7624348402023315,0.14182722568511963,0.7020649909973145,-0.42693015933036804,0.7257882654666901,0.30310457944869995,-1.9430538415908813,0.14872539043426514,0.7063547968864441,-0.5164432525634766,0.6860713064670563,0.3049757182598114,-1.878212571144104,0.16752856969833374,0.6942020654678345,-0.4086756408214569,0.689916342496872,0.3176502585411072,-1.758982539176941,0.41761261224746704,0.7034313082695007,0.02356085553765297,0.6396970152854919,0.7053912878036499,-0.024153247475624084,,,,,,,,,,,,,,,,,,,,,,,,,0.4959162399172783,0.3455078452825546,-0.4964609369635582,-131.94283637258135
1,33,20.236306477164526,178.6910750139415,181.0,181.0,92.20883987216187,46.520362039497016,0.3754163980484009,0.3835853934288025,-0.3250909447669983,0.7262511253356934,0.37596383690834045,-0.6332276463508606,0.2720067501068115,0.5209426879882812,-0.15513700246810913,0.9620780423283577,0.4324426054954529,-1.293782114982605,0.18451005220413208,0.6428625583648682,-0.4220215678215027,0.7855298072099686,0.314679354429245,-2.115507125854492,0.16368091106414795,0.6860142946243286,-0.4898342192173004,0.7442744672298431,0.28822192549705505,-2.334851026535034,0.16854721307754517,0.6900274157524109,-0.5992472171783447,0.7063647508621216,0.29177412390708923,-2.277308702468872,0.18723928928375244,0.6767770648002625,-0.46882468461990356,0.7080108523368835,0.30558252334594727,-2.117375612258911,0.4258277416229248,0.6833516359329224,0.06356886774301529,0.639196902513504,0.6861454844474792,-0.06409446150064468,0.319974422454834,0.914165735244751,0.058775145560503006,0.7139857113361359,0.9167203307151794,-0.11266297847032547,,,,,,,,,,,,,,,,,,,0.5124181360006332,0.3391591012477875,-0.72189961373806,-133.4055427707425
2,66,22.445047403288754,178.41430961331866,181.0,176.07344763368818,97.19373020601476,43.620551693934964,0.3958899974822998,0.3710426390171051,-0.37904322147369385,0.7432071566581726,0.36767297983169556,-0.7106567025184631,0.29777991771698,0.5081208944320679,-0.27575409412384033,0.9698436558246613,0.41614457964897156,-1.3681089878082275,0.20635563135147095,0.6286646127700806,-0.6190035343170166,0.8068273812532425,0.30403438210487366,-2.1473135948181152,0.18814611434936523,0.6695337891578674,-0.7026867866516113,0.7625152915716171,0.28144457936286926,-2.3599822521209717,0.1929764747619629,0.6726988554000854,-0.8059056997299194,0.7287628352642059,0.28271186351776123,-2.3066201210021973,0.20955199003219604,0.6611056923866272,-0.6665893197059631,0.7291727066040039,0.29530638456344604,-2.1493570804595947,0.4365493059158325,0.6593126654624939,0.07080033421516418,0.6385150253772736,0.6671978235244751,-0.07126609981060028,0.3548318147659302,0.865168035030365,0.09527777880430222,0.7091053128242493,0.8830621242523193,-0.12107343226671219,0.31376779079437256,0.9936464428901672,0.8672411441802979,,,,,,,,,,,,,,,,0.5312938764691353,0.32894985377788544,-0.8008551448583603,-133.43201803918967
3,100,22.46389236510897,175.46692717118484,181.0,177.3745858411387,101.51263857802822,39.06389856422006,0.4102609157562256,0.35887202620506287,-0.35286110639572144,0.7544001638889313,0.360472172498703,-0.7078560590744019,0.3190463185310364,0.491318941116333,-0.2515637278556824,0.9863557871431112,0.39740249514579773,-1.379159688949585,0.22215288877487183,0.6105982065200806,-0.6010156869888306,0.8174086958169937,0.2938302457332611,-2.141418695449829,0.2056502103805542,0.6510286927223206,-0.6858249306678772,0.7740229368209839,0.2715282738208771,-2.3553731441497803,0.21522432565689087,0.6555518507957458,-0.7940154075622559,0.7366277277469635,0.27324557304382324,-2.294787645339966,0.23323911428451538,0.6448532342910767,-0.6511638760566711,0.7366288006305695,0.28560870885849,-2.1403207778930664,0.433633029460907,0.6552357077598572,0.07086431235074997,0.6412838697433472,0.6620693206787109,-0.07129727303981781,0.3425389528274536,0.8810241222381592,0.08083118498325348,0.7079349756240845,0.8827245235443115,-0.1549830138683319,0.2723572254180908,1.034335732460022,0.822460412979126,,,,,,,,,,,,,,,,0.5477508753538132,0.31734905391931534,-0.7874172180891037,-129.25023213913553
4,133,24.99123977676099,178.18770179670474,156.66843910508308,175.17332169845204,105.62959514615942,38.68336200705984,0.4207424521446228,0.35248467326164246,-0.18269634246826172,0.7721251100301743,0.3554375469684601,-0.5338020920753479,0.33091288805007935,0.47584468126296997,-0.06755274534225464,0.9998757853463758,0.38666027784347534,-1.2057331800460815,0.24000489711761475,0.5927303433418274,-0.40849965810775757,0.8398941606283188,0.2835696041584015,-1.9750850200653076,0.22702503204345703,0.633941650390625,-0.4886907935142517,0.7949387580156326,0.2625592350959778,-2.1846535205841064,0.23360103368759155,0.6369825601577759,-0.5937938094139099,0.7642622292041779,0.26375097036361694,-2.1246795654296875,0.2481400966644287,0.6234440207481384,-0.4571681618690491,0.7658931165933609,0.2758723795413971,-1.9742597341537476,0.43445509672164917,0.6519671082496643,0.0652904137969017,0.6389695107936859,0.6626165509223938,-0.06582651287317276,0.33998745679855347,0.880528450012207,0.0681922435760498,0.7081906497478485,0.8809781074523926,-0.14634594321250916,0.3001486659049988,1.005893588066101,0.8437113761901855,0.6975869238376617,0.9864163398742676,0.7953006625175476,,,,,,,0.2691291570663452,1.0822193622589111,0.5692958235740662,,,,0.5606845282018185,0.3103351518511772,-0.613570436835289,-129.33287441626416
5,166,27.037634266917497,179.19831222990405,160.42525257884407,174.68559496022874,109.6772900077526,40.16363429504388,0.42984116077423096,0.35143741965293884,-0.23206326365470886,0.7860371619462967,0.3576784133911133,-0.5727723240852356,0.3361849784851074,0.4694412052631378,-0.12591134011745453,1.0201892014592886,0.3843018114566803,-1.253680944442749,0.24729686975479126,0.5847135186195374,-0.46468740701675415,0.8654413372278214,0.28178170323371887,-2.032701015472412,0.23368358612060547,0.6260631084442139,-0.5477427244186401,0.813477411866188,0.2640557587146759,-2.2446188926696777,0.24131840467453003,0.629571795463562,-0.6520493030548096,0.7848672717809677,0.2618456482887268,-2.1843388080596924,0.257412850856781,0.6163899898529053,-0.5132786631584167,0.7874161154031754,0.2725807726383209,-2.032386302947998,0.4387056231498718,0.6456748247146606,0.06052403897047043,0.6387173533439636,0.6575467586517334,-0.06109714135527611,0.3501618504524231,0.8662745356559753,0.0697367787361145,0.7038364708423615,0.8762033581733704,-0.06935953348875046,0.30917155742645264,1.0041691064834595,0.7846851348876953,0.6979474127292633,0.9889327883720398,0.8683096766471863,,,,,,,0.28678327798843384,1.0824172496795654,0.4829801619052887,,,,0.5721969194710255,0.3092905133962631,-0.6571776941418648,-128.2939200452403
6,200,27.634332912308984,172.75234884052026,165.64983128899178,168.31589446294686,110.3288509419463,43.042100861503165,0.43917709589004517,0.3515162169933319,-0.22790643572807312,0.7920631766319275,0.360179603099823,-0.5977399945259094,0.3381803035736084,0.4639171361923218,-0.19767343997955322,1.0182768888771534,0.3863452970981598,-1.3067340850830078,0.25817346572875977,0.5794904232025146,-0.5649420619010925,0.8653029799461365,0.28225821256637573,-2.0475900173187256,0.24418580532073975,0.6185644865036011,-0.6481236815452576,0.8204049617052078,0.2622852027416229,-2.2556817531585693,0.2541121244430542,0.6223333477973938,-0.7455437779426575,0.7935763150453568,0.26242494583129883,-2.189932107925415,0.2681199908256531,0.6101114153862,-0.6122608184814453,0.7948131710290909,0.274100661277771,-2.045109272003174,0.4447963833808899,0.6438751220703125,0.08025352656841278,0.6416874825954437,0.6562427282333374,-0.08074025064706802,0.3396728038787842,0.8569586277008057,0.21599160134792328,0.694371372461319,0.8674403429031372,-0.040624767541885376,0.3041312098503113,0.9936487078666687,0.9013763070106506,0.6936407685279846,0.9893307685852051,0.691852331161499,,,,,,,,,,,,,0.5809851288795471,0.3126048520207405,-0.6285288408398628,-128.69256282439773
7,233,27.451706470437923,168.40399318556885,165.9052030553865,163.30761154635977,108.58953904288619,45.36061039010663,0.44761860370635986,0.3552946150302887,-0.2752799987792969,0.7993058860301971,0.3658698499202728,-0.6090434193611145,0.34092843532562256,0.46147066354751587,-0.21632342040538788,1.0194646883755922,0.3967397212982178,-1.2982183694839478,0.26414161920547485,0.5772966742515564,-0.5271326899528503,0.870234802365303,0.29055628180503845,-2.017850399017334,0.25294429063796997,0.6178097128868103,-0.6064509749412537,0.821913480758667,0.26947537064552307,-2.216862916946411,0.26807254552841187,0.6202741861343384,-0.6967084407806396,0.794429361820221,0.27141866087913513,-2.153695821762085,0.2823057770729065,0.6077183485031128,-0.5696884989738464,0.7966166287660599,0.2840580940246582,-2.015456199645996,0.44873863458633423,0.6440637707710266,0.0656818151473999,0.6540476977825165,0.6563069224357605,-0.06622099876403809,0.3365558981895447,0.8567560315132141,0.09260358661413193,0.6961168348789215,0.8651139140129089,-0.05685559660196304,0.3080841302871704,1.001655101776123,0.6921491622924805,0.690220445394516,0.9899755120277405,0.7060936093330383,0.3196070194244385,1.0104173421859741,0.7287948131561279,,,,0.2833075523376465,1.084716558456421,0.40259188413619995,,,,0.5884261652827263,0.32020383328199387,-0.6504582315683365,-130.94796789950263
8,266,26.9511125833774,172.16296366988135,164.60307609762518,163.65704429900902,104.69435789519368,44.52911499435501,0.44677847623825073,0.358123779296875,-0.2628383934497833,0.7901426255702972,0.36976125836372375,-0.6143805980682373,0.3449740409851074,0.46683481335639954,-0.15606170892715454,0.9996425260906108,0.4070696532726288,-1.2854955196380615,0.26553183794021606,0.5791020393371582,-0.4189421534538269,0.8575083613395691,0.2997744679450989,-1.9784499406814575,0.2588816285133362,0.6183745265007019,-0.487953782081604,0.8103403896093369,0.27891677618026733,-2.1726276874542236,0.2721368074417114,0.6214932203292847,-0.5811821818351746,0.7768285870552063,0.2810364067554474,-2.108189821243286,0.28513675928115845,0.6095207333564758,-0.4610859155654907,0.7794451117515564,0.29288581013679504,-1.9744212627410889,0.4537053108215332,0.639900267124176,0.07466372847557068,0.6590817868709564,0.6535080671310425,-0.07519671320915222,0.33534741401672363,0.8509304523468018,0.08918996155261993,0.6992718279361725,0.8603808879852295,-0.08837686479091644,0.30209964513778687,0.9955957531929016,0.7137494087219238,0.6893112361431122,0.9897481203079224,0.6620986461639404,,,,,,,0.2740976810455322,1.0782077312469482,0.43452775478363037,,,,0.587610051035881,0.3267604857683182,-0.6402220353484154,-129.68301169070455
9,300,24.93258151968847,171.31136207172764,181.0,165.05077684472903,101.03753621314604,44.51605790680572,0.4492999315261841,0.3632546067237854,-0.1932113915681839,0.782374694943428,0.3724835515022278,-0.5475205779075623,0.34473955631256104,0.4707198739051819,-0.020073018968105316,0.9859101809561253,0.4198252856731415,-1.1918107271194458,0.2662101984024048,0.5807066559791565,-0.27880406379699707,0.8479404151439667,0.3119283616542816,-1.950577735900879,0.2566468119621277,0.6198728680610657,-0.3456604778766632,0.8089139610528946,0.28698331117630005,-2.1567118167877197,0.2726932168006897,0.6223166584968567,-0.4465779960155487,0.7725120633840561,0.2884399890899658,-2.1017627716064453,0.28699159622192383,0.6096622943878174,-0.3229465186595917,0.7714563757181168,0.30080047249794006,-1.9515260457992554,0.4507904052734375,0.6469667553901672,0.0738375186920166,0.6544367969036102,0.65807044506073,-0.07441093772649765,0.34119802713394165,0.8589784502983093,0.07196401804685593,0.7058238387107849,0.8637782335281372,-0.05591091886162758,0.31003570556640625,1.0008784532546997,0.7321935296058655,,,,,,,,,,0.274913489818573,1.0784518718719482,0.42518189549446106,,,,0.5826577804982662,0.3336658850312233,-0.5942436642944813,-134.1296439594374
