frame,time_ms,right_elbow,left_elbow,right_knee,left_knee,right_shoulder,left_shoulder
0,0,179.99089995710878,165.58517403225306,179.77963408955787,164.06638106302938,68.06914394244764,71.55352942739584
1,33,177.04941532933648,165.55266471632072,176.46549863273842,167.47766762317295,65.43676403075706,75.09091193392824
2,66,179.8803794815586,163.2402075793761,176.75320631521615,169.0604291442979,67.3790196441084,77.2800893428168
3,100,175.97529919110372,160.62199508920293,178.5369165739105,167.0936148401596,70.23217600966298,76.8043473628708
4,133,174.31089818273676,164.64291733036958,175.36525766884046,164.68765967841043,68.56289764834308,82.82830053902909
5,166,169.4832559887054,161.19439707634305,169.2390353501638,160.78025583208154,69.67719603977609,83.06796557320457
6,200,161.64797995441583,157.44122778391505,159.39575485309248,151.806396497443,75.5900579747198,80.69556395152503
7,233,169.9062568124733,156.75081684870497,164.67835936296714,150.40770605240425,66.46033889517463,73.71353565804293
8,266,171.8230185233339,164.27202534266686,170.79446220488694,151.3529847960943,60.38845630915672,69.53006254788717
9,300,173.8115253934912,173.96502360408945,159.28269982442436,146.77009364364451,56.057871744029335,64.50576326987574
10,333,176.28202036744875,179.9627041049956,151.9435886548458,139.29460613354595,52.910928982571505,58.63033597491894
11,366,178.93902445524105,174.90919346411587,154.69106073114793,128.91496941767454,48.48682435945422,51.976680390881214
12,400,179.61168096053564,174.3122813154706,151.80745451765168,124.14498373049595,45.00078199965824,45.524708985185406
13,433,175.46866116165154,177.61550352567568,145.88438030625085,114.22823175755096,43.7080805625706,35.73418927454619
14,466,175.87676438457902,177.96675356171127,143.19718198445221,103.1257405102253,44.22768213450503,29.4993970225323
15,500,172.81331398667177,179.81588786110268,143.5618979698172,102.39497474386002,41.96855098202876,25.877233755395082
16,533,178.81459960565138,173.4998318658257,141.97274288224685,103.3937588878556,43.67721079579969,21.892278397188978
17,566,175.7513486264273,177.86585014891858,139.98466811308515,115.80489557437855,42.0375074715868,24.875434892888514
