frame,time_ms,right_elbow,left_elbow,right_knee,left_knee,right_shoulder,left_shoulder
0,0,178.17880458496182,177.49515068110935,160.989634395392,165.09987741815283,66.45253361180784,46.58874220503362
1,33,175.34890094419183,178.01072485548892,158.31239419782133,161.35248977057435,68.62811571206782,50.52754637332521
2,66,176.4760550378862,177.16386302037,159.24406209222278,160.2470745059855,72.39570615180489,54.236661086121075
3,100,169.41852323932687,179.85974303218416,150.76698963875685,152.33690508861562,75.24611544601001,59.62645410187022
4,133,173.77323444519553,172.48988872124704,154.36333989638206,146.3432379398457,70.84076290509907,65.17585638815311
5,166,174.06843197653785,173.0317634301866,157.4331151522542,143.2700389118511,64.91616677038513,66.19740502859412
6,200,168.70891385526616,165.03295923942943,165.39224709529873,141.43395014150826,57.60121536919015,70.20770834024465
7,233,171.3027704131952,159.3073930095723,170.08028868423742,145.5775334963552,54.45953216083309,71.46831142652125
8,266,179.18315830022067,150.35975677218022,171.01712119854358,144.19989403064437,51.9451061010143,64.97408544502845
9,300,178.85293137042586,131.9274498777401,174.23264093638005,143.0315369314431,48.2230044573948,50.74018626865341
10,333,177.45166701696513,133.28555858297236,175.09530908667244,142.52650614020652,50.871191188291846,51.02820715630006
11,366,173.62130208847424,128.3540634289493,176.4458419771641,145.8458777297716,51.74430792737188,47.55261192673472
12,400,175.7085762247735,119.85126881363726,174.88048306716922,148.54236631827249,50.54267399281522,43.511471999455324
13,433,176.90525635274565,122.35771566491623,173.17276459353778,151.64134460631965,50.88091675363859,45.83542736633715
14,466,176.70424168263656,181.0,174.66243723758816,152.26159540137544,50.863100780056136,181.0
15,500,175.8450692772692,121.48512323298952,176.46285910402423,154.18552251304985,52.08396725995904,47.32350704731294
16,533,173.818436351937,116.72365456526813,173.8653568158727,155.09725275503934,53.29807204268799,45.82519759406919
17,566,172.36789047961827,181.0,175.37384737074743,155.56782259901786,54.36796404727782,181.0
18,600,170.9644124321188,120.3618605700471,176.5039886430455,155.2628530528018,55.8038773840438,50.1605972345953
19,633,173.96205596371263,123.43587089465028,176.08073537307243,154.17936053194907,53.48942147835586,54.626301372153975
20,666,173.19316956399234,181.0,175.1030832026672,151.19034768837892,52.55894819591837,181.0
21,700,171.2645983910784,142.56620022390712,170.36074114209768,153.737063881909,51.465691292542374,70.32116740989339
22,733,172.70182788975504,163.69085897250898,172.43681893056305,145.63310309593368,52.41344109165416,83.7612076858304
23,766,169.19641109886672,175.99131524007848,169.83985276153692,142.34602949676145,52.36514868102531,93.66344717523302
24,800,179.2711230776603,177.97571619603653,166.66505390934583,153.100808332625,52.11957967005992,87.08930162562007
25,833,171.0518205244773,178.18946101874644,164.78111659889174,153.00675111438267,49.9359860553652,86.88158062458378
