frame,time_ms,right_elbow,left_elbow,right_knee,left_knee,right_shoulder,left_shoulder,lmk_11_x,lmk_11_y,lmk_11_z,lmk_12_x,lmk_12_y,lmk_12_z,lmk_13_x,lmk_13_y,lmk_13_z,lmk_14_x,lmk_14_y,lmk_14_z,lmk_15_x,lmk_15_y,lmk_15_z,lmk_16_x,lmk_16_y,lmk_16_z,lmk_17_x,lmk_17_y,lmk_17_z,lmk_18_x,lmk_18_y,lmk_18_z,lmk_19_x,lmk_19_y,lmk_19_z,lmk_20_x,lmk_20_y,lmk_20_z,lmk_21_x,lmk_21_y,lmk_21_z,lmk_22_x,lmk_22_y,lmk_22_z,lmk_23_x,lmk_23_y,lmk_23_z,lmk_24_x,lmk_24_y,lmk_24_z,lmk_25_x,lmk_25_y,lmk_25_z,lmk_26_x,lmk_26_y,lmk_26_z,lmk_27_x,lmk_27_y,lmk_27_z,lmk_28_x,lmk_28_y,lmk_28_z,lmk_29_x,lmk_29_y,lmk_29_z,lmk_30_x,lmk_30_y,lmk_30_z,lmk_31_x,lmk_31_y,lmk_31_z,lmk_32_x,lmk_32_y,lmk_32_z,neck_x,neck_y,neck_z,neck_angle
14,466,181.0,181.0,181.0,181.0,181.0,181.0,0.10972189903259277,0.6611856818199158,-0.4502759277820587,0.9590551964938641,0.632542073726654,-0.6952670216560364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5166654093191028,0.5295476391911507,-1.1686008796095848,-98.59079683746417
15,500,181.0,181.0,181.0,181.0,181.0,181.0,0.09962433576583862,0.6611075401306152,-0.5968536734580994,0.9615384563803673,0.6464331150054932,-0.7841256260871887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5272514503449202,0.5311967059969902,-1.393535852432251,-91.55616614068857
16,533,181.0,181.0,181.0,181.0,181.0,181.0,0.11836045980453491,0.6634693741798401,-0.36451077461242676,0.954924363642931,0.6686171293258667,-0.553467869758606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5369063960388303,0.5427935123443604,-1.1883964538574219,-89.87728035729718
17,566,181.0,181.0,181.0,181.0,181.0,181.0,0.08588194847106934,0.6820987462997437,-0.5906563997268677,0.9222305864095688,0.6937028765678406,-0.6842378377914429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5159249417483807,0.5620221123099327,-1.3368239998817444,-84.6136995396074
18,600,181.0,181.0,181.0,181.0,181.0,181.0,0.10510855913162231,0.6843947768211365,-0.5669612288475037,0.9162319973111153,0.7110541462898254,-0.5998018383979797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5250502470880747,0.5724010914564133,-1.268181562423706,-83.45434161986005
19,633,181.0,181.0,181.0,181.0,181.0,181.0,0.10302859544754028,0.6835964322090149,-0.752619743347168,0.9063348919153214,0.7307748198509216,-0.7679687738418579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5238376073539257,0.5799846351146698,-1.461980015039444,-81.43588307374613
20,666,181.0,181.0,181.0,181.0,181.0,181.0,0.10756099224090576,0.6922080516815186,-0.5235585570335388,0.9041126146912575,0.7294842600822449,-0.5868895053863525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513726131990552,0.5915140733122826,-1.1968255788087845,-86.21754383300998
21,700,181.0,181.0,181.0,181.0,181.0,181.0,0.1239047646522522,0.7181950211524963,-0.7151299715042114,0.9009107947349548,0.7516101002693176,-0.8078387379646301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5068302676081657,0.6126278713345528,-1.4187031835317612,-92.61171416382118
22,733,181.0,181.0,181.0,181.0,181.0,181.0,0.10740625858306885,0.733593761920929,0.16300182044506073,0.8704540282487869,0.7714996337890625,-0.014119737781584263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4906226731836796,0.6321375817060471,-0.4167334905359894,-89.1946753756758
23,766,181.0,181.0,181.0,181.0,181.0,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
